,Series_Title,Released_Year,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Certificate_16,Certificate_A,Certificate_Approved,Certificate_G,Certificate_GP,Certificate_PG,Certificate_PG-13,Certificate_Passed,Certificate_R,Certificate_TV-14,Certificate_TV-MA,Certificate_TV-PG,Certificate_U,Certificate_U/A,Certificate_UA,Certificate_Unrated,Certificate_nan,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western
180,To Kill a Mockingbird,0.9712871287128713,0.30434782608695654,8.2,0.8333333333333333,Robert Mulligan,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy,0.11592771768343872,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Yôjinbô,0.9707920792079208,0.23550724637681159,8.2,0.7083333333333333,Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,0.03716789573179202,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
182,Judgment at Nuremberg,0.9707920792079208,0.4855072463768116,8.2,0.4444444444444444,Stanley Kramer,Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich,0.019141319625094154,0.025120709637378703,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,Some Like It Hot,0.9698019801980198,0.2753623188405797,8.2,0.9722222222222221,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,0.09441454826571966,0.026689161964822874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
184,Smultronstället,0.9688118811881188,0.16666666666666669,8.2,0.8333333333333333,Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,0.030755963489561357,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
185,Det sjunde inseglet,0.9688118811881188,0.18478260869565216,8.2,0.8333333333333333,Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe,0.06033204171487587,0.025120709637378703,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
186,Du rififi chez les hommes,0.9678217821782178,0.2644927536231884,8.2,0.9583333333333333,Jules Dassin,Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey,0.0016056793248726726,5.9702501519973735e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,Dial M for Murder,0.9673267326732673,0.2173913043478261,8.2,0.6527777777777777,Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,John Williams,0.057483060989067414,1.2018223200771524e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
188,Tôkyô monogatari,0.9668316831683168,0.32971014492753625,8.2,0.7083333333333333,Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara,0.012107305280105195,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Rashômon,0.9653465346534653,0.1557971014492754,8.2,0.9722222222222221,Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,0.05499688958948622,0.00010170489444568692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
190,All About Eve,0.9653465346534653,0.33695652173913043,8.2,0.9722222222222221,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,0.041177780021069685,9.471944233565334e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,The Treasure of the Sierra Madre,0.9643564356435643,0.29347826086956524,8.2,0.9722222222222221,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,0.0384879867404192,0.005351664506297541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,To Be or Not to Be,0.9613861386138614,0.19565217391304346,8.2,0.8055555555555556,Ernst Lubitsch,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,0.002082378855765822,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
193,The Gold Rush,0.9529702970297029,0.1811594202898551,8.2,0.7083333333333333,Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,0.03277147499031502,0.005817147789191419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Sherlock Jr.,0.9524752475247524,0.0,8.2,0.7083333333333333,Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,0.007289404500906378,0.0010420740090234576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
195,Portrait de la jeune fille en feu,0.9995049504950495,0.27898550724637683,8.1,0.9305555555555556,Céline Sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,0.016413131540597977,0.0040127103840309685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
196,Pink,0.998019801980198,0.32971014492753625,8.1,0.7083333333333333,Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,0.006094851558785898,0.0013237639934844299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
197,Koe no katachi,0.998019801980198,0.3079710144927536,8.1,0.6944444444444444,Naoko Yamada,Miyu Irino,Saori Hayami,Aoi Yûki,Kenshô Ono,0.00975831980887153,0.025120709637378703,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Contratiempo,0.998019801980198,0.22101449275362317,8.1,0.7083333333333333,Oriol Paulo,Mario Casas,Ana Wagener,Jose Coronado,Bárbara Lennie,0.0502273058668123,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
199,Ah-ga-ssi,0.998019801980198,0.36231884057971014,8.1,0.7777777777777777,Chan-wook Park,Kim Min-hee,Jung-woo Ha,Cho Jin-woong,Moon So-Ri,0.038205418240206526,0.0021410981895134476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
200,Mommy,0.997029702970297,0.34057971014492755,8.1,0.6388888888888888,Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,0.011049075461751441,0.0037275484921480448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Haider,0.997029702970297,0.4166666666666667,8.1,0.7083333333333333,Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,0.010939067877699177,0.0009611856123985615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Logan,0.9985148514851485,0.3333333333333333,8.1,0.6805555555555556,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,0.2686756208526062,0.24157702981779147,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
203,Room,0.9975247524752475,0.2644927536231884,8.1,0.8055555555555556,Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,0.14945932350944036,0.015668817484132895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
204,Relatos salvajes,0.997029702970297,0.27898550724637683,8.1,0.6805555555555556,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,0.06556063747453648,0.0033157858235400707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
205,Soul,1.0,0.19927536231884058,8.1,0.7638888888888888,Pete Docter,Kemp Powers,Jamie Foxx,Tina Fey,Graham Norton,0.05784371330384268,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Kis Uykusu,0.997029702970297,0.5471014492753623,8.1,0.8333333333333333,Nuri Bilge Ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan,0.009257461749715923,0.00017531958096426187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,PK,0.997029702970297,0.391304347826087,8.1,0.7083333333333333,Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,0.05952186821350272,0.01133259515086847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
208,OMG: Oh My God!,0.996039603960396,0.2898550724637681,8.1,0.7083333333333333,Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Mahesh Manjrekar,0.011497302441478122,0.000984257995945854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209,The Grand Budapest Hotel,0.997029702970297,0.19565217391304346,8.1,0.8333333333333333,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,0.29445018209490675,0.06309541877758709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Gone Girl,0.997029702970297,0.3768115942028985,8.1,0.7083333333333333,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,0.36005137138474097,0.17911058358237045,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
211,Ôkami kodomo no Ame to Yuki,0.996039603960396,0.2608695652173913,8.1,0.5972222222222222,Mamoru Hosoda,Aoi Miyazaki,Takao Osawa,Haru Kuroki,Yukito Nishii,0.005916682412850267,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,Hacksaw Ridge,0.998019801980198,0.34057971014492755,8.1,0.5972222222222222,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer,0.17723731698836334,0.07175308434988405,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
213,Inside Out,0.9975247524752475,0.1811594202898551,8.1,0.9166666666666667,Pete Docter,Ronnie Del Carmen,Amy Poehler,Bill Hader,Lewis Black,0.2550191499476709,0.38056504588661605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Barfi!,0.996039603960396,0.38405797101449274,8.1,0.7083333333333333,Anurag Basu,Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz,Saurabh Shukla,0.02184319216987587,0.0029931525273841895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
215,12 Years a Slave,0.9965346534653465,0.322463768115942,8.1,0.9444444444444444,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,0.2655043826158682,0.06050288507819884,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
216,Rush,0.9965346534653465,0.2826086956521739,8.1,0.6388888888888888,Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,0.17589263604918332,0.02876848860097633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Ford v Ferrari,0.9995049504950495,0.38768115942028986,8.1,0.7361111111111112,James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe,0.11483972110704731,0.1255766312957735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Spotlight,0.9975247524752475,0.30434782608695654,8.1,0.9027777777777777,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,0.1705022644306223,0.04810115383056657,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Song of the Sea,0.997029702970297,0.17391304347826086,8.1,0.7916666666666667,Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan,Fionnula Flanagan,0.01147141830405406,0.0009141184197158562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Kahaani,0.996039603960396,0.27898550724637683,8.1,0.7083333333333333,Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui,0.014114620137341233,0.0011046131827513418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
221,Zindagi Na Milegi Dobara,0.9955445544554455,0.3985507246376812,8.1,0.7083333333333333,Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,0.01848084271849016,0.003317294373720642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Prisoners,0.9965346534653465,0.391304347826087,8.1,0.5833333333333334,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo,0.2485140348107136,0.06512601913614587,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
223,Mad Max: Fury Road,0.9975247524752475,0.2717391304347826,8.1,0.8611111111111112,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,0.3698101225959029,0.1644747119373786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
224,A Wednesday,0.994059405940594,0.213768115942029,8.1,0.7083333333333333,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Aamir Bashir,0.021053725978441965,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Gran Torino,0.994059405940594,0.2572463768115942,8.1,0.6111111111111112,Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her,0.2999807594578481,0.15810844013861494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Harry Potter and the Deathly Hallows: Part 2,0.9955445544554455,0.3079710144927536,8.1,0.7916666666666667,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,0.3189810105339811,0.4067746458344819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
227,Okuribito,0.994059405940594,0.3079710144927536,8.1,0.5555555555555556,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki,0.010135365410682037,0.0015981290219730744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
228,Hachi: A Dog's Tale,0.9945544554455445,0.17391304347826086,8.1,0.7083333333333333,Lasse Hallström,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,0.09856981512686247,0.025120709637378703,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Mary and Max,0.9945544554455445,0.17028985507246375,8.1,0.7083333333333333,Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,0.06012626282235459,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,How to Train Your Dragon,0.995049504950495,0.1920289855072464,8.1,0.6527777777777777,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,0.27682437871599147,0.23229316111533724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Into the Wild,0.9935643564356436,0.3731884057971015,8.1,0.625,Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,0.23633641095727304,0.019594124840822867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,No Country for Old Men,0.9935643564356436,0.27898550724637683,8.1,0.875,Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,0.35885250441971644,0.07930545452883846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
233,Lage Raho Munna Bhai,0.9930693069306931,0.358695652173913,8.1,0.7083333333333333,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,0.007786379939448376,0.002366124125259758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
234,Million Dollar Baby,0.9920792079207921,0.31521739130434784,8.1,0.8055555555555556,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,0.26353805097622024,0.1072863144541143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
235,Hotel Rwanda,0.9920792079207921,0.2753623188405797,8.1,0.7083333333333333,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,0.13340339306529445,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
236,Taegukgi hwinalrimyeo,0.9920792079207921,0.34420289855072467,8.1,0.5,Je-kyu Kang,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,0.005492613961386044,0.0011848001515852716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
237,Before Sunset,0.9920792079207921,0.12681159420289856,8.1,0.8611111111111112,Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,0.09112208598537892,0.00621286089313943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
238,Munna Bhai M.B.B.S.,0.9915841584158416,0.4021739130434782,8.1,0.7083333333333333,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt,0.021097297609772473,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
239,Salinui chueok,0.9915841584158416,0.3115942028985507,8.1,0.75,Bong Joon Ho,Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,0.04938262018220707,1.3693322445864401e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
240,Dil Chahta Hai,0.9905940594059406,0.5,8.1,0.7083333333333333,Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta,0.01799594654407939,0.00031889341555960295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
241,Kill Bill: Vol. 1,0.9915841584158416,0.2391304347826087,8.1,0.5694444444444444,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,0.42085493580302513,0.07483790398770987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Finding Nemo,0.9915841584158416,0.19927536231884058,8.1,0.8611111111111112,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,0.3988214952230824,0.40659533014359134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
